id,Speakers,Capacity,Dimensions,HD Voice,Additional microphone(s),Stand-by time (3G),Maximum User Storage,Camera,Front-facing camera,Type,USB,Graphics processor,Wi-Fi,Pixel density,Video playback,Device type,System chip,GSM,Mobile Payment,Colors,Physical size,Notifications,MSRP price,Other features,Navigation,Sensors,Data,Storage expansion,Built-in storage,OS,Rugged,Screen-to-body ratio,LTE (TDD),Stand-by time,Positioning,Music playback,FCC approval,Music player,UMTS,Materials,phone_arena,LTE (FDD),Resolution,Processor,Wireless charging,VoLTE,Talk time,Nano SIM,Officially announced,Weight,phone,System memory,Accessories,Mirroring,Bluetooth,Camcorder,Other,Radio,Peak brightness,Internet use,Features,Talk time (3G),CDMA,Technology,Hearing aid compatibility
1,Earpiece; Loudspeaker,2915 mAh,6.22 x 3.06 x 0.28 inches  (158.1 x 77.8 x 7.1 mm),Yes,for Noise cancellation; Video recording,null,null,8 megapixels,1.2 megapixels,Not user replaceable; Li - Ion,Yes,PowerVR GX6450,802.11 a; b; g; n; ac; dual-band,401 ppi,14.00 hours,Smart phone,Apple A8,850; 900; 1800; 1900 MHz,Apple Pay,Gold; Gray; Silver,5.5 inches,Music ringtones (MP3); Polyphonic ringtones; Vibration; Flight mode; Silent mode; Speakerphone,$ 749,Voice dialing; Voice commands; Voice recording,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Barometer,LTE Cat 4 (150/50 Mbit/s); HSPA; HSUPA; UMTS,null,16 GB,iOS (10.x; 9.x; 8.x),null,67.91 %,null,16.0 days (384 hours)the average is 16 days (374 h),GPS; A-GPS; Glonass; Cell ID; Wi-Fi positioning,80.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission09 Sep 2014,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9,Bands 1; 2; 3; 4; 5; 7; 8; 13; 17; 18; 19; 20; 25; 26; 28,1080 x  1920 pixels,Dual-core; 1400 MHz; Cyclone ARMv8-A 2nd gen.; 64-bit,null,Yes,null,Yes,09 Sep 2014,6.07 oz  (172 g)the average is 5.3 oz (150 g),iphone_6plus,1 GB RAM,Apple EarPods with Remote and Mic; Lightning to USB Cable; USB Power Adapter; Documentation,null,4.2,1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),NFC; UMA (Wi-Fi Calling); Tethering; Computer sync; OTA sync; AirDrop,null,500 cd/m2 (nit),3G:12 hours,Oleophobic coating; Scratch-resistant glass; Light sensor; Proximity sensor,24.00 hoursthe average is 16 h (987 min),800; 1700/2100; 1900 MHz,IPS LCD,M3; T4
2,Earpiece; Loudspeaker,2915 mAh,6.22 x 3.06 x 0.28 inches  (158.1 x 77.8 x 7.1 mm),Yes,for Noise cancellation; Video recording,null,null,8 megapixels,1.2 megapixels,Not user replaceable; Li - Ion,Yes,PowerVR GX6450,802.11 a; b; g; n; ac; dual-band,401 ppi,14.00 hours,Smart phone,Apple A8,850; 900; 1800; 1900 MHz,Apple Pay,Gold; Gray; Silver,5.5 inches,Music ringtones (MP3); Polyphonic ringtones; Vibration; Flight mode; Silent mode; Speakerphone,$ 849,Voice dialing; Voice commands; Voice recording,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Barometer,LTE Cat 4 (150/50 Mbit/s); HSPA; HSUPA; UMTS,null,64 GB,iOS (10.x; 9.x; 8.x),null,67.91 %,null,16.0 days (384 hours)the average is 16 days (374 h),GPS; A-GPS; Glonass; Cell ID; Wi-Fi positioning,80.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission09 Sep 2014,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9,Bands 1; 2; 3; 4; 5; 7; 8; 13; 17; 18; 19; 20; 25; 26; 28,1080 x  1920 pixels,Dual-core; 1400 MHz; Cyclone ARMv8-A 2nd gen.; 64-bit,null,Yes,null,Yes,09 Sep 2014,6.07 oz  (172 g)the average is 5.3 oz (150 g),iphone_6plus,1 GB RAM,Apple EarPods with Remote and Mic; Lightning to USB Cable; USB Power Adapter; Documentation,null,4.2,1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),NFC; UMA (Wi-Fi Calling); Tethering; Computer sync; OTA sync; AirDrop,null,500 cd/m2 (nit),3G:12 hours,Oleophobic coating; Scratch-resistant glass; Light sensor; Proximity sensor,24.00 hoursthe average is 16 h (987 min),800; 1700/2100; 1900 MHz,IPS LCD,M3; T4
3,Earpiece; Stereo speakers,1960 mAh,5.44 x 2.64 x 0.28 inches  (138.3 x 67.1 x 7.1 mm),null,null,10.0 days (240 hours)the average is 21 days (499 h),null,12 megapixels,7 megapixels,Not user replaceable; Li - Ion,Yes,Yes,802.11 a; b; g; n; ac; dual-band,326 ppi,13.00 hours,Smart phone,Apple A10 Fusion APL1W24,850; 900; 1800; 1900 MHz,null,Black; Gold; Silver; Pink,4.7 inches,Haptic feedback; Music ringtones (MP3); Polyphonic ringtones; Vibration; Flight mode; Silent mode; Speakerphone,$ 649,Voice dialing; Voice commands; Voice recording,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Barometer,LTE-A Cat 12 (600/100 Mbit/s); HSDPA+ (4G) 42.2 Mbit/s; HSUPA 5.76 Mbit/s,null,32 GB,iOS (10.x),Water; Dust resistant,65.71 %,Bands 38; 39; 40; 41,null,GPS; A-GPS; Glonass; Cell ID; Wi-Fi positioning,40.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission07 Sep 2016,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9.3,Bands 1; 2; 3; 4; 5; 7; 8; 12; 13; 17; 18; 19; 20; 25; 26; 28; 29; 30,750 x  1334 pixels,Quad-core; 2340 MHz; 64-bit,null,Yes,null,Yes,07 Sep 2016,4.87 oz  (138 g)the average is 5.3 oz (150 g),iphone7,2 GB RAM,null,null,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),NFC; UMA (Wi-Fi Calling); Tethering; Computer sync; OTA sync,null,625 cd/m2 (nit),3G:12 hours,Pressure-sensitive; Oleophobic coating; Scratch-resistant glass; Light sensor; Proximity sensor,14.00 hoursthe average is 16 h (987 min),null,IPS LCD,T4
4,Earpiece; Stereo speakers,1960 mAh,5.44 x 2.64 x 0.28 inches  (138.3 x 67.1 x 7.1 mm),null,null,10.0 days (240 hours)the average is 21 days (499 h),null,12 megapixels,7 megapixels,Not user replaceable; Li - Ion,Yes,Yes,802.11 a; b; g; n; ac; dual-band,326 ppi,13.00 hours,Smart phone,Apple A10 Fusion APL1W24,850; 900; 1800; 1900 MHz,null,Black; Gold; Silver; Pink,4.7 inches,Haptic feedback; Music ringtones (MP3); Polyphonic ringtones; Vibration; Flight mode; Silent mode; Speakerphone,$ 749,Voice dialing; Voice commands; Voice recording,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Barometer,LTE-A Cat 12 (600/100 Mbit/s); HSDPA+ (4G) 42.2 Mbit/s; HSUPA 5.76 Mbit/s,null,128 GB,iOS (10.x),Water; Dust resistant,65.71 %,Bands 38; 39; 40; 41,null,GPS; A-GPS; Glonass; Cell ID; Wi-Fi positioning,40.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission07 Sep 2016,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9.3,Bands 1; 2; 3; 4; 5; 7; 8; 12; 13; 17; 18; 19; 20; 25; 26; 28; 29; 30,750 x  1334 pixels,Quad-core; 2340 MHz; 64-bit,null,Yes,null,Yes,07 Sep 2016,4.87 oz  (138 g)the average is 5.3 oz (150 g),iphone7,2 GB RAM,null,null,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),NFC; UMA (Wi-Fi Calling); Tethering; Computer sync; OTA sync,null,625 cd/m2 (nit),3G:12 hours,Pressure-sensitive; Oleophobic coating; Scratch-resistant glass; Light sensor; Proximity sensor,14.00 hoursthe average is 16 h (987 min),null,IPS LCD,T4
5,Earpiece; Loudspeaker,1810 mAh,5.44 x 2.64 x 0.27 inches  (138.1 x 67 x 6.9 mm),Yes,for Noise cancellation; Video recording,null,null,8 megapixels,1.2 megapixels,Not user replaceable; Li - Ion,Yes,PowerVR GX6450,802.11 a; b; g; n; ac; dual-band,326 ppi,11.00 hours,Smart phone,Apple A8,850; 900; 1800; 1900 MHz,Apple Pay,Gold; Gray; Silver,4.7 inches,Haptic feedback; Music ringtones (MP3); Polyphonic ringtones; Vibration; Flight mode; Silent mode; Speakerphone,$ 649,Voice dialing; Voice commands; Voice recording,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Barometer,LTE Cat 4 (150/50 Mbit/s); HSPA; HSUPA; UMTS,null,16 GB,iOS (10.x; 9.x; 8.x),null,65.71 %,null,10.4 days (250 hours)the average is 16 days (374 h),GPS; A-GPS; Glonass; Cell ID; Wi-Fi positioning,50.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission09 Sep 2014,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9,Bands 1; 2; 3; 4; 5; 7; 8; 13; 17; 18; 19; 20; 25; 26; 28,750 x  1334 pixels,Dual-core; 1400 MHz; Cyclone ARMv8-A 2nd gen.; 64-bit,null,Yes,null,Yes,09 Sep 2014,4.55 oz  (129 g)the average is 5.3 oz (150 g),iphone_6,1 GB RAM,Apple EarPods with Remote and Mic; Lightning to USB Cable; USB Power Adapter; Documentation,null,4.2,1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),NFC; UMA (Wi-Fi Calling); Tethering; Computer sync; OTA sync; AirDrop,null,500 cd/m2 (nit),3G:10 hours,Oleophobic coating; Scratch-resistant glass; Light sensor; Proximity sensor,14.00 hoursthe average is 16 h (987 min),800; 1700/2100; 1900 MHz,IPS LCD,M3; T4
6,Earpiece; Loudspeaker,1810 mAh,5.44 x 2.64 x 0.27 inches  (138.1 x 67 x 6.9 mm),Yes,for Noise cancellation; Video recording,null,null,8 megapixels,1.2 megapixels,Not user replaceable; Li - Ion,Yes,PowerVR GX6450,802.11 a; b; g; n; ac; dual-band,326 ppi,11.00 hours,Smart phone,Apple A8,850; 900; 1800; 1900 MHz,Apple Pay,Gold; Gray; Silver,4.7 inches,Haptic feedback; Music ringtones (MP3); Polyphonic ringtones; Vibration; Flight mode; Silent mode; Speakerphone,$ 749,Voice dialing; Voice commands; Voice recording,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Barometer,LTE Cat 4 (150/50 Mbit/s); HSPA; HSUPA; UMTS,null,64 GB,iOS (10.x; 9.x; 8.x),null,65.71 %,null,10.4 days (250 hours)the average is 16 days (374 h),GPS; A-GPS; Glonass; Cell ID; Wi-Fi positioning,50.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission09 Sep 2014,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9,Bands 1; 2; 3; 4; 5; 7; 8; 13; 17; 18; 19; 20; 25; 26; 28,750 x  1334 pixels,Dual-core; 1400 MHz; Cyclone ARMv8-A 2nd gen.; 64-bit,null,Yes,null,Yes,09 Sep 2014,4.55 oz  (129 g)the average is 5.3 oz (150 g),iphone_6,1 GB RAM,Apple EarPods with Remote and Mic; Lightning to USB Cable; USB Power Adapter; Documentation,null,4.2,1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),NFC; UMA (Wi-Fi Calling); Tethering; Computer sync; OTA sync; AirDrop,null,500 cd/m2 (nit),3G:10 hours,Oleophobic coating; Scratch-resistant glass; Light sensor; Proximity sensor,14.00 hoursthe average is 16 h (987 min),800; 1700/2100; 1900 MHz,IPS LCD,M3; T4
7,Earpiece; Loudspeaker,1715 mAh,5.44 x 2.64 x 0.28 inches  (138.3 x 67.1 x 7.1 mm),Yes,for Noise cancellation; Video recording,null,null,12 megapixels,5 megapixels,Not user replaceable; Li - Ion,Yes,PowerVR GT7600,802.11 a; b; g; n; ac; dual-band,326 ppi,11.00 hours,Smart phone,Apple A9 APL0898,850; 900; 1800; 1900 MHz,Apple Pay,Black; Gold; Gray; Silver; Pink,4.7 inches,Haptic feedback; Music ringtones (MP3); Polyphonic ringtones; Vibration; Flight mode; Silent mode; Speakerphone,$ 649,Voice dialing; Voice commands; Voice recording; TTY/TDD,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Barometer,LTE-A Cat 6 (300/50 Mbit/s); HSPA; HSUPA,null,16 GB,iOS (10.x; 9.x),null,65.71 %,Bands 38; 39; 40; 41,10.0 days (240 hours)the average is 16 days (374 h),GPS; A-GPS; Glonass; Cell ID; Wi-Fi positioning,50.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission09 Sep 2015,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9.3,Bands 1; 2; 3; 4; 5; 7; 8; 12; 13; 17; 18; 19; 20; 25; 26; 28; 29,750 x  1334 pixels,Dual-core; 1840 MHz; Twister; 64-bit,null,Yes,null,Yes,09 Sep 2015,5.04 oz  (143 g)the average is 5.3 oz (150 g),iphone_6s,2 GB RAM,null,null,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),NFC; UMA (Wi-Fi Calling); Tethering; Computer sync; OTA sync; AirDrop,null,500 cd/m2 (nit),3G:10 hours,Pressure-sensitive; Oleophobic coating; Scratch-resistant glass; Light sensor; Proximity sensor,14.00 hoursthe average is 16 h (987 min),800; 1700/2100; 1900 MHz,IPS LCD,M3; T4
8,Earpiece; Loudspeaker,1715 mAh,5.44 x 2.64 x 0.28 inches  (138.3 x 67.1 x 7.1 mm),Yes,for Noise cancellation; Video recording,null,null,12 megapixels,5 megapixels,Not user replaceable; Li - Ion,Yes,PowerVR GT7600,802.11 a; b; g; n; ac; dual-band,326 ppi,11.00 hours,Smart phone,Apple A9 APL0898,850; 900; 1800; 1900 MHz,Apple Pay,Black; Gold; Gray; Silver; Pink,4.7 inches,Haptic feedback; Music ringtones (MP3); Polyphonic ringtones; Vibration; Flight mode; Silent mode; Speakerphone,$ 749,Voice dialing; Voice commands; Voice recording; TTY/TDD,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Barometer,LTE-A Cat 6 (300/50 Mbit/s); HSPA; HSUPA,null,64 GB,iOS (10.x; 9.x),null,65.71 %,Bands 38; 39; 40; 41,10.0 days (240 hours)the average is 16 days (374 h),GPS; A-GPS; Glonass; Cell ID; Wi-Fi positioning,50.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission09 Sep 2015,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9.3,Bands 1; 2; 3; 4; 5; 7; 8; 12; 13; 17; 18; 19; 20; 25; 26; 28; 29,750 x  1334 pixels,Dual-core; 1840 MHz; Twister; 64-bit,null,Yes,null,Yes,09 Sep 2015,5.04 oz  (143 g)the average is 5.3 oz (150 g),iphone_6s,2 GB RAM,null,null,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),NFC; UMA (Wi-Fi Calling); Tethering; Computer sync; OTA sync; AirDrop,null,500 cd/m2 (nit),3G:10 hours,Pressure-sensitive; Oleophobic coating; Scratch-resistant glass; Light sensor; Proximity sensor,14.00 hoursthe average is 16 h (987 min),800; 1700/2100; 1900 MHz,IPS LCD,M3; T4
9,Earpiece; Loudspeaker,3000 mAh,5.61 x 2.74 x 0.31 inches  (142.4 x 69.6 x 7.9 mm),Yes,null,null,24.5 GB,12 megapixels,5 megapixels,Not user replaceable; Li - Ion,USB 2.0,ARM Mali-T880 MP12,802.11 a; b; g; n; ac; dual-band,576 ppi,15.00 hours,Smart phone,Samsung Exynos 8 Octa 8890,850; 900; 1800; 1900 MHz,Samsung Pay,Black; Gold; Silver; Pink; White,5.1 inches,Haptic feedback; Music ringtones (MP3); Polyphonic ringtones; Vibration; Flight mode; Silent mode; Speakerphone,$ 669,Voice dialing; Voice commands; Voice recording,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Hall; Barometer,LTE-A Cat 9 (450/50 Mbit/s); HSPA; UMTS,microSD; microSDHC; microSDXC up to 200 GB,32 GB,Android (6.0); TouchWiz UI,Water; Dust resistant,72.30 %,Bands 38; 39; 40; 41,null,GPS; A-GPS; Glonass; BeiDou,45.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission12 Feb 2016,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: glass; Accents: aluminum,9,Bands 1; 2; 3; 4; 5; 7; 8; 12; 13; 17; 18; 19; 20; 25; 26; 28,1440 x  2560 pixels,Octa-core; 2300 MHz; Exynos M1 and ARM Cortex-A53 ; 64-bit,Optional,Yes,null,Yes,21 Feb 2016,5.36 oz  (152 g)the average is 5.3 oz (150 g),galaxy_s7,4 GB RAM,null,DLNA,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),NFC; ANT+; Tethering; Computer sync; OTA sync,null,null,3G:11 hours,Scratch-resistant glass (Corning Gorilla Glass 4); Light sensor; Proximity sensor,22.00 hoursthe average is 16 h (987 min),null,Super AMOLED,M4; T3
10,Earpiece; Loudspeaker,2770 mAh,5.66 x 2.74 x 0.34 inches  (143.84 x 69.54 x 8.58 mm),Yes,for Noise cancellation,null,null,12.3 megapixels,8 megapixels,Not user replaceable; Li - Ion,Yes,Adreno 530,802.11 a; b; g; n; ac; dual-band,441 ppi,13.00 hours,Smart phone,Qualcomm Snapdragon 821 MSM8996 Pro,850; 900; 1800; 1900 MHz,null,Black; Gray; White,5.0 inches,Service lights; Haptic feedback,$ 649,Voice dialing; Voice commands; Voice recording; TTY/TDD,Turn-by-turn navigation; Voice navigation,Accelerometer; Gyroscope; Compass; Hall; Barometer,LTE-A Cat 11 (600/75 Mbit/s); HSDPA+ (4G) 42.2 Mbit/s; UMTS,null,32 GB,Android (7.1),Splash; Dust resistant,68.88 %,Bands 41,19.0 days (456 hours)the average is 16 days (374 h),GPS; A-GPS; Glonass,110.00 hours,Date approved:;Date approved - Shows the date when the particular phone is approved by the Federal Communications Commission15 Aug 2016,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum; Accents: glass,9,Bands 1; 2; 3; 4; 5; 7; 8; 12; 13; 17; 20; 25; 26; 28; 29; 30,1080 x  1920 pixels,Quad-core; 2150 MHz; Kryo; 64-bit,null,null,26.00 hoursthe average is 15 h (876 min),Yes,04 Oct 2016,5.04 oz  (143 g)the average is 5.3 oz (150 g),pixel,4 GB RAM,USB-C 18W adaptor with USB-PD; A-C cable (USB 3.0); C-C cable (USB 2.0); SIM tool; Quick switch adapter; In box promos and collateral,null,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),NFC; UMA (Wi-Fi Calling); Tethering; Computer sync; OTA sync,null,null,LTE:13 hours,Oleophobic coating; Scratch-resistant glass (Corning Gorilla Glass 4); Light sensor; Proximity sensor,null,800; 1900 MHz,AMOLED,M4; T4
